-------------------------------------------------|----------|----------|----------|----------|-------------------|
File                                             |  % Stmts | % Branch |  % Funcs |  % Lines | Uncovered Line #s |
-------------------------------------------------|----------|----------|----------|----------|-------------------|
  forgot_pw_stage_reducer.ts                     |    83.33 |       75 |      100 |    83.33 |                10 |
  history_items_reducer.ts                       |    58.82 |    43.75 |      100 |    58.82 |... 29,34,38,40,44 |
  legal_reducer.ts                               |    83.33 |       75 |      100 |    83.33 |                10 |
  linked_accounts_reducer.ts                     |    85.71 |       80 |      100 |    85.71 |                10 |
  maintenance_status_reducer.ts                  |     62.5 |       50 |      100 |     62.5 |          10,12,14 |
  med_savvy_reducer.ts                           |       75 |    66.67 |      100 |       75 |             10,20 |
  notes_reducer.ts                               |    45.45 |    33.33 |      100 |    45.45 | 10,12,14,16,21,23 |
  onboarding_reducer.ts                          |    83.33 |       75 |      100 |    83.33 |                10 |
  onboarding_stage_reducer.ts                    |      100 |      100 |      100 |      100 |                   |
  overlay_reducer.ts                             |    77.78 |    71.43 |      100 |    77.78 |              9,11 |
  prescriptions_reducer.ts                       |    69.23 |    53.85 |      100 |    69.23 |       17,24,28,30 |
  profile_reducer.ts                             |    66.67 |    57.14 |      100 |    66.67 |          10,14,16 |
  providers_reducer.ts                           |    47.06 |    35.29 |      100 |    47.06 |... 31,37,39,41,45 |
  root_reducer.ts                                |    98.28 |       50 |      100 |    98.28 |               119 |
  session_reducer.ts                             |    77.78 |    71.43 |      100 |    77.78 |             19,21 |
  settings_beta_reducer.ts                       |    83.33 |       75 |      100 |    83.33 |                10 |
  show_connected_subjects_modal_reducer.ts       |    83.33 |       75 |      100 |    83.33 |                10 |
  show_health_modal_reducer.ts                   |    83.33 |       75 |      100 |    83.33 |                10 |
  show_push_consent_modal_reducer.ts             |    83.33 |       75 |      100 |    83.33 |                10 |
  spinner_reducer.ts                             |      100 |      100 |      100 |      100 |                   |
  subjects_reducer.ts                            |    71.43 |       60 |      100 |    71.43 |             10,12 |
  tips_reducer.ts                                |    55.56 |       50 |      100 |    55.56 |       12,16,18,20 |
  tmp_pw_reducer.ts                              |    83.33 |       75 |      100 |    83.33 |                 7 |
  update_email_reducer.ts                        |       60 |     37.5 |      100 |       60 |       17,19,20,25 |
  view_reducer.ts                                |     62.5 |     37.5 |      100 |     62.5 |... 26,31,36,38,46 |
 src/redux/sagas                                 |    22.98 |    11.29 |     7.41 |    25.16 |                   |
  bootstrap_sagas.ts                             |    23.53 |        0 |        0 |    25.81 |... 53,56,59,60,64 |
  chat_sagas.ts                                  |    14.07 |        0 |        0 |    16.03 |... 23,724,729,738 |
  data_sagas.ts                                  |    25.71 |        0 |        0 |    29.03 |... 44,150,152,153 |
  error_sagas.ts                                 |    83.33 |      100 |       75 |    83.33 |          37,38,39 |
  history_sagas.ts                               |    55.38 |       50 |    30.77 |    56.52 |... 90,291,323,341 |
  home_sagas.ts                                  |       25 |        0 |        0 |    29.03 |... 51,53,66,67,68 |
  legal_sagas.ts                                 |    27.27 |      100 |        0 |    33.33 |... 30,32,33,34,43 |
  maintenance_sagas.ts                           |    31.03 |      100 |        0 |    33.33 |... 37,43,45,48,52 |
  notes_saga.ts                                  |       10 |        0 |        0 |     11.9 |... 79,382,391,392 |
  onboarding_sagas.ts                            |    20.38 |    22.22 |     3.33 |    21.92 |... 41,842,843,844 |
  profile_sagas.ts                               |    17.81 |        0 |        0 |    20.31 |... 08,317,321,325 |
  providers_sagas.ts                             |    26.11 |    45.45 |     12.5 |    28.35 |... 63,464,465,489 |
  scenes_sagas.ts                                |      100 |      100 |      100 |      100 |                   |
  session_sagas.ts                               |    30.51 |        0 |       25 |    32.73 |... ,93,96,101,102 |
  terms_and_conditions_sagas.ts                  |    24.39 |        0 |        0 |    28.57 |... 62,63,67,70,74 |
  tips_sagas.ts                                  |    11.11 |        0 |        0 |    12.28 |... 79,283,284,290 |
 src/util                                        |    87.25 |    73.39 |    83.25 |    87.24 |                   |
  app_data_utils.ts                              |    86.49 |    33.93 |    81.82 |    87.32 |... 84,285,287,311 |
  available_benefits_utils.ts                    |      100 |      100 |      100 |      100 |                   |
  back_utils.ts                                  |      100 |      100 |      100 |      100 |                   |
  chat_utils.ts                                  |      100 |      100 |      100 |      100 |                   |
  error_utils.ts                                 |      100 |      100 |      100 |      100 |                   |
  format_utils.ts                                |      100 |      100 |      100 |      100 |                   |
  history_utils.ts                               |    85.12 |       60 |    82.05 |    84.75 |... 65,499,506,511 |
  hsa_utils.ts                                   |      100 |      100 |      100 |      100 |                   |
  mock_utils.ts                                  |      100 |      100 |      100 |      100 |                   |
  note_utils.ts                                  |    96.83 |    88.89 |    95.65 |    96.61 |            75,179 |
  object_filter_utils.ts                         |      100 |      100 |      100 |      100 |                   |
  prescription_utils.ts                          |     92.5 |    75.28 |    89.29 |    92.11 |... 98,292,293,294 |
  profile_utils.ts                               |    30.77 |        0 |        0 |    30.77 |... 29,39,40,50,51 |
  provider_utils.ts                              |    91.67 |    59.09 |      100 |    91.43 |... 36,142,236,239 |
  repository_utils.ts                            |    61.11 |       50 |    57.14 |    64.71 | 20,39,40,42,50,74 |
  subject_utils.ts                               |    33.33 |        0 |        0 |    33.33 |        8,34,35,37 |
  tip_utils.ts                                   |    66.67 |    75.86 |       50 |    68.29 |... 99,181,187,189 |
 src/util/sagas                                  |    76.62 |    34.21 |    73.68 |    76.32 |                   |
  check_network_saga_utils.ts                    |      100 |      100 |      100 |      100 |                   |
  condition_sagas_utils.ts                       |    65.22 |     37.5 |    66.67 |    65.22 |... 17,36,37,39,61 |
  onboarding_sagas_utils.ts                      |      100 |      100 |      100 |      100 |                   |
  prescription_sagas_utils.ts                    |      100 |    83.33 |      100 |      100 |                19 |
  providers_sagas_utils.ts                       |    79.17 |    20.83 |    71.43 |    78.72 |... 32,139,145,147 |
 src/util/scenes                                 |    52.63 |        0 |     12.5 |     62.5 |                   |
  history.ts                                     |    52.63 |        0 |     12.5 |     62.5 | 11,12,13,14,17,22 |
 src/util/test                                   |    94.64 |    72.73 |    94.44 |    95.83 |                   |
  history_sagas_test_utils.ts                    |      100 |      100 |      100 |      100 |                   |
  onboarding_sagas_test_utils.ts                 |      100 |      100 |      100 |      100 |                   |
  prescriptions_sagas_test_utils.ts              |      100 |      100 |      100 |      100 |                   |
  providers_sagas_test_utils.ts                  |       75 |       25 |       75 |    77.78 |             46,78 |
  test_utils.ts                                  |      100 |       70 |      100 |      100 |          21,22,72 |
-------------------------------------------------|----------|----------|----------|----------|-------------------|
